idPlayer,namePlayer,dateBirth,numberJersey,idTeam,teamName,slugTeam,cityTeam,slugPlayer,yearSeasonFirst,yearSeasonLast,yearDraft,numberRound,numberOverallPick,slugSeason,nameSchool,nameOrganizationFrom,heightInches,weightLBS,countSeasonsPlayed,pts,ast,treb,countAllStarGames,ratioPIE,urlNBAAPI,nameFirst,nameLast,namePlayerAbbr,codeTeam,urlPlayerStats,urlPlayerThumbnail,urlPlayerHeadshot,urlPlayerActionPhoto,urlPlayerPhoto
2306,Carlos Arroyo,1979-07-30,45,1610612753,Magic,ORL,Orlando,carlos_arroyo,2002,2011,,,,career,Florida International,Florida International/Puerto Rico,74,200,9,6.6,3.1,1.7,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2306,Carlos,Arroyo,C. Arroyo,magic,https://stats.nba.com/player/2306,https://stats.nba.com/media/players/230x185/2306.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2306.png,https://stats.nba.com/media/players/700/2306.png,https://stats.nba.com/media/players/230x185/2306.png
2349,Victor Alexander,1969-08-31,9,1610612744,Warriors,GOS,Golden State,victor_alexander,1992,2002,1991,1,17,career,Iowa State,Iowa State/USA,82,265,4,8.9,0.9,4.8,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2349,Victor,Alexander,V. Alexander,warriors,https://stats.nba.com/player/2349,https://stats.nba.com/media/players/230x185/2349.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2349.png,https://stats.nba.com/media/players/700/2349.png,https://stats.nba.com/media/players/230x185/2349.png
2351,Oscar Torres,1976-12-18,18,1610612745,Rockets,HOU,Houston,oscar_torres,2002,2003,,,,career,Venezuela,Venezuela/Venezuela,78,210,1,5.4,0.5,1.6,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2351,Oscar,Torres,O. Torres,rockets,https://stats.nba.com/player/2351,https://stats.nba.com/media/players/230x185/2351.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2351.png,https://stats.nba.com/media/players/700/2351.png,https://stats.nba.com/media/players/230x185/2351.png
2352,Dean Oliver,1978-11-05,2,1610612744,Warriors,GSW,Golden State,dean_oliver,2002,2003,,,,career,Iowa,Iowa ''01/USA,71,175,1,1.8,1.3,0.7,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2352,Dean,Oliver,D. Oliver,warriors,https://stats.nba.com/player/2352,https://stats.nba.com/media/players/230x185/2352.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2352.png,https://stats.nba.com/media/players/700/2352.png,https://stats.nba.com/media/players/230x185/2352.png
2357,Tierre Brown,1979-06-03,,0,"","","",tierre_brown,2002,2005,,,,career,McNeese State,McNeese State/USA,,,4,3.9,2,1.2,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2357,Tierre,Brown,T. Brown,"",https://stats.nba.com/player/2357,https://stats.nba.com/media/players/230x185/2357.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2357.png,https://stats.nba.com/media/players/700/2357.png,https://stats.nba.com/media/players/230x185/2357.png
2365,Chris Andersen,1978-07-07,,0,"","","",chris_andersen,2002,2017,,,,career,Blinn,Blinn Junior College (TX)/USA,,,14,5.4,0.5,5,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2365,Chris,Andersen,C. Andersen,"",https://stats.nba.com/player/2365,https://stats.nba.com/media/players/230x185/2365.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2365.png,https://stats.nba.com/media/players/700/2365.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2365.png
2369,Norman Richardson,1977-07-24,31,1610612741,Bulls,CHI,Chicago,norman_richardson,2002,2002,,,,career,Hofstra,Hofstra ''01/USA,77,200,1,2.7,0.2,0.7,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2369,Norman,Richardson,N. Richardson,bulls,https://stats.nba.com/player/2369,https://stats.nba.com/media/players/230x185/2369.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2369.png,https://stats.nba.com/media/players/700/2369.png,https://stats.nba.com/media/players/230x185/2369.png
2370,Mengke Bateer,1975-11-20,,0,"","","",mengke_bateer,2002,2004,,,,career,China,China/China,,,3,3.4,0.6,2.5,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=2370,Mengke,Bateer,M. Bateer,"",https://stats.nba.com/player/2370,https://stats.nba.com/media/players/230x185/2370.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/2370.png,https://stats.nba.com/media/players/700/2370.png,https://stats.nba.com/media/players/230x185/2370.png
85,Brent Price,1968-12-09,25,1610612764,Bullets,WAS,Washington,brent_price,1993,2003,1992,2,32,career,Oklahoma,Oklahoma ''92/USA,73,185,9,5.9,3,1.6,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=85,Brent,Price,B. Price,wizards,https://stats.nba.com/player/85,https://stats.nba.com/media/players/230x185/85.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/85.png,https://stats.nba.com/media/players/700/85.png,https://stats.nba.com/media/players/230x185/85.png
348,Mitchell Butler,1970-12-15,32,1610612764,Wizards,WAS,Washington,mitchell_butler,1994,2004,,,,career,UCLA,UCLA ''93/USA,77,210,8,5.2,0.9,2,0,,https://stats.nba.com/stats/commonplayerinfo?LeagueID=00&PlayerID=348,Mitchell,Butler,M. Butler,wizards,https://stats.nba.com/player/348,https://stats.nba.com/media/players/230x185/348.png,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/348.png,https://stats.nba.com/media/players/700/348.png,https://stats.nba.com/media/players/230x185/348.png
